fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
38.5;73.5;17.5;11.5;54.5;10.5;48.5;224.5;35.5;41.5;13.5;5.0
7.5;20.5;2.5;11.5;15.5;27.5;59.5;7.5;78.5;43.5;61.5;6.0
18.5;26.5;10.5;9.5;31.5;3.5;16.5;130.5;46.5;22.5;12.5;5.0
7.5;20.5;2.5;11.5;15.5;27.5;59.5;7.5;78.5;43.5;61.5;6.0
36.5;64.5;57.5;11.5;78.5;32.5;110.5;224.5;29.5;26.5;12.5;5.0
13.5;66.5;4.5;11.5;52.5;21.5;90.5;74.5;66.5;16.5;21.5;5.0
31.5;38.5;28.5;7.5;113.5;10.5;84.5;224.5;23.5;44.5;11.5;5.0
24.5;38.5;12.5;19.5;39.5;12.5;26.5;162.5;54.5;22.5;23.5;6.0
37.5;28.5;46.5;27.5;54.5;11.5;39.5;272.5;65.5;25.5;26.5;6.0
28.5;19.5;49.5;15.5;42.5;5.5;7.5;155.5;45.5;17.5;24.5;6.0
47.5;41.5;80.5;34.5;124.5;32.5;65.5;331.5;2.5;91.5;12.5;4.0
30.5;51.5;5.5;11.5;60.5;25.5;94.5;103.5;47.5;18.5;22.5;5.0
30.5;51.5;5.5;11.5;60.5;25.5;94.5;103.5;47.5;18.5;22.5;5.0
26.5;32.5;44.5;58.5;35.5;29.5;108.5;258.5;54.5;36.5;26.5;5.0
26.5;32.5;44.5;58.5;36.5;28.5;108.5;258.5;54.5;35.5;26.5;5.0
26.5;32.5;44.5;58.5;35.5;29.5;108.5;258.5;54.5;36.5;26.5;5.0
26.5;32.5;44.5;58.5;36.5;28.5;108.5;258.5;54.5;35.5;26.5;5.0
26.5;66.5;2.5;17.5;38.5;12.5;18.5;231.5;60.5;14.5;11.5;5.0
23.5;51.5;20.5;12.5;44.5;18.5;82.5;224.5;71.5;21.5;11.5;6.0
31.5;111.5;5.5;13.5;55.5;7.5;16.5;162.5;32.5;20.5;16.5;5.0
31.5;66.5;4.5;4.5;37.5;9.5;16.5;203.5;29.5;72.5;9.5;4.0
33.5;42.5;6.5;9.5;41.5;17.5;27.5;194.5;45.5;20.5;21.5;6.0
29.5;51.5;28.5;71.5;35.5;36.5;108.5;297.5;49.5;13.5;12.5;5.0
28.5;50.5;28.5;71.5;35.5;35.5;108.5;294.5;49.5;13.5;12.5;5.0
33.5;57.5;50.5;9.5;64.5;14.5;92.5;174.5;31.5;26.5;13.5;5.0
23.5;59.5;12.5;15.5;50.5;18.5;96.5;143.5;46.5;16.5;23.5;5.0
28.5;45.5;5.5;7.5;37.5;17.5;38.5;143.5;49.5;12.5;6.5;4.0
23.5;57.5;9.5;15.5;54.5;11.5;40.5;123.5;59.5;19.5;25.5;6.0
30.5;71.5;26.5;11.5;120.5;15.5;59.5;194.5;12.5;87.5;13.5;5.0
34.5;105.5;5.5;11.5;23.5;4.5;4.5;251.5;48.5;2.5;8.5;4.0
35.5;31.5;19.5;13.5;38.5;6.5;14.5;251.5;41.5;25.5;9.5;6.0
35.5;31.5;19.5;13.5;38.5;6.5;14.5;251.5;41.5;25.5;9.5;6.0
29.5;55.5;7.5;12.5;33.5;24.5;38.5;174.5;54.5;21.5;38.5;6.0
28.5;25.5;23.5;13.5;45.5;7.5;31.5;174.5;45.5;11.5;13.5;5.0
24.5;39.5;6.5;6.5;50.5;19.5;45.5;155.5;47.5;42.5;13.5;5.0
28.5;25.5;23.5;13.5;45.5;7.5;31.5;174.5;45.5;11.5;13.5;5.0
30.5;41.5;44.5;19.5;52.5;8.5;34.5;251.5;70.5;25.5;26.5;6.0
25.5;91.5;2.5;22.5;33.5;7.5;16.5;231.5;60.5;20.5;16.5;5.0
43.5;53.5;16.5;21.5;32.5;10.5;38.5;231.5;31.5;23.5;13.5;5.0
43.5;53.5;16.5;21.5;32.5;10.5;38.5;231.5;31.5;23.5;13.5;5.0
44.5;53.5;51.5;13.5;116.5;23.5;103.5;251.5;24.5;66.5;11.5;5.0
27.5;76.5;4.5;22.5;41.5;16.5;38.5;251.5;56.5;16.5;11.5;5.0
23.5;53.5;22.5;11.5;42.5;11.5;61.5;244.5;66.5;22.5;11.5;5.0
22.5;55.5;23.5;12.5;44.5;8.5;58.5;237.5;64.5;22.5;11.5;6.0
44.5;17.5;59.5;13.5;74.5;26.5;81.5;244.5;38.5;17.5;17.5;5.0
29.5;26.5;50.5;13.5;47.5;14.5;63.5;251.5;46.5;19.5;9.5;5.0
32.5;71.5;12.5;24.5;49.5;9.5;22.5;276.5;51.5;13.5;17.5;5.0
34.5;39.5;35.5;13.5;49.5;15.5;110.5;224.5;32.5;19.5;13.5;5.0
34.5;38.5;34.5;12.5;47.5;17.5;110.5;224.5;32.5;19.5;13.5;5.0
37.5;39.5;37.5;28.5;42.5;21.5;108.5;276.5;35.5;26.5;12.5;5.0
19.5;24.5;27.5;12.5;39.5;21.5;45.5;266.5;69.5;26.5;18.5;6.0
23.5;57.5;14.5;40.5;64.5;16.5;108.5;231.5;40.5;25.5;13.5;5.0
31.5;45.5;23.5;17.5;36.5;7.5;24.5;194.5;40.5;19.5;17.5;5.0
31.5;45.5;23.5;17.5;36.5;7.5;24.5;194.5;40.5;19.5;17.5;5.0
33.5;50.5;35.5;13.5;39.5;24.5;108.5;224.5;37.5;18.5;12.5;5.0
28.5;48.5;32.5;21.5;39.5;15.5;51.5;224.5;58.5;23.5;23.5;5.0
70.5;16.5;62.5;13.5;32.5;12.5;23.5;294.5;23.5;61.5;22.5;6.0
9.5;96.5;10.5;3.5;11.5;13.5;89.5;13.5;69.5;49.5;53.5;7.0
24.5;123.5;8.5;15.5;26.5;12.5;27.5;92.5;63.5;7.5;37.5;4.0
51.5;18.5;49.5;5.5;21.5;9.5;20.5;234.5;34.5;46.5;24.5;7.0
43.5;24.5;50.5;15.5;62.5;39.5;110.5;272.5;16.5;67.5;11.5;5.0
23.5;39.5;13.5;6.5;40.5;16.5;45.5;133.5;48.5;43.5;13.5;5.0
25.5;31.5;37.5;7.5;53.5;16.5;35.5;174.5;46.5;19.5;9.5;5.0
25.5;32.5;38.5;7.5;54.5;14.5;33.5;178.5;46.5;20.5;9.5;6.0
83.5;16.5;75.5;24.5;60.5;9.5;24.5;329.5;32.5;41.5;31.5;7.0
83.5;16.5;75.5;24.5;60.5;9.5;24.5;329.5;32.5;41.5;31.5;7.0
33.5;47.5;33.5;11.5;34.5;26.5;108.5;184.5;41.5;17.5;11.5;5.0
33.5;33.5;30.5;26.5;64.5;18.5;91.5;211.5;34.5;31.5;12.5;5.0
65.5;16.5;60.5;15.5;19.5;7.5;15.5;292.5;43.5;52.5;26.5;7.0
52.5;42.5;62.5;13.5;5.5;5.5;15.5;158.5;42.5;50.5;47.5;6.0
35.5;75.5;26.5;27.5;48.5;10.5;58.5;228.5;47.5;20.5;21.5;6.0
71.5;33.5;66.5;15.5;24.5;5.5;11.5;292.5;33.5;31.5;23.5;6.0
37.5;47.5;28.5;17.5;25.5;28.5;61.5;162.5;42.5;7.5;22.5;5.0
33.5;77.5;10.5;21.5;57.5;10.5;37.5;266.5;36.5;35.5;18.5;6.0
25.5;38.5;51.5;59.5;25.5;26.5;108.5;266.5;46.5;40.5;26.5;5.0
42.5;56.5;18.5;13.5;65.5;13.5;45.5;180.5;26.5;21.5;33.5;5.0
36.5;75.5;24.5;17.5;37.5;11.5;37.5;218.5;48.5;19.5;8.5;5.0
30.5;38.5;21.5;12.5;41.5;10.5;40.5;148.5;51.5;18.5;17.5;5.0
33.5;42.5;35.5;21.5;45.5;24.5;110.5;207.5;42.5;24.5;13.5;5.0
33.5;20.5;39.5;13.5;47.5;24.5;54.5;194.5;46.5;23.5;12.5;6.0
29.5;42.5;28.5;13.5;65.5;16.5;68.5;148.5;27.5;21.5;12.5;5.0
23.5;53.5;6.5;6.5;22.5;5.5;6.5;119.5;54.5;24.5;13.5;5.0
41.5;60.5;27.5;13.5;48.5;8.5;24.5;296.5;40.5;24.5;21.5;6.0
39.5;58.5;38.5;13.5;54.5;15.5;51.5;269.5;43.5;21.5;25.5;4.0
32.5;32.5;27.5;24.5;38.5;29.5;59.5;178.5;49.5;22.5;26.5;6.0
44.5;50.5;52.5;13.5;118.5;27.5;77.5;194.5;16.5;87.5;13.5;6.0
45.5;93.5;16.5;24.5;54.5;9.5;19.5;305.5;51.5;27.5;18.5;5.0
32.5;32.5;27.5;24.5;38.5;29.5;59.5;178.5;49.5;22.5;26.5;6.0
24.5;41.5;27.5;24.5;46.5;10.5;33.5;228.5;58.5;14.5;33.5;5.0
7.5;37.5;6.5;7.5;19.5;19.5;101.5;18.5;66.5;26.5;45.5;7.0
35.5;25.5;8.5;11.5;43.5;12.5;45.5;184.5;49.5;16.5;19.5;6.0
40.5;24.5;22.5;27.5;55.5;18.5;54.5;292.5;46.5;34.5;16.5;6.0
24.5;41.5;27.5;24.5;46.5;10.5;33.5;228.5;58.5;14.5;33.5;5.0
37.5;117.5;11.5;19.5;30.5;7.5;33.5;228.5;44.5;19.5;6.5;6.0
27.5;57.5;2.5;12.5;62.5;14.5;34.5;221.5;49.5;22.5;6.5;6.0
27.5;57.5;2.5;12.5;62.5;14.5;34.5;221.5;49.5;22.5;6.5;6.0
27.5;60.5;2.5;12.5;62.5;15.5;35.5;221.5;49.5;22.5;9.5;6.0
27.5;57.5;2.5;12.5;62.5;14.5;34.5;221.5;49.5;22.5;6.5;6.0
37.5;117.5;11.5;19.5;30.5;7.5;33.5;228.5;44.5;19.5;6.5;6.0
44.5;58.5;39.5;9.5;114.5;5.5;58.5;244.5;12.5;73.5;11.5;5.0
75.5;25.5;58.5;15.5;58.5;6.5;20.5;325.5;26.5;35.5;32.5;6.0
32.5;48.5;12.5;11.5;66.5;28.5;102.5;145.5;20.5;13.5;18.5;6.0
91.5;7.5;46.5;17.5;40.5;10.5;20.5;338.5;19.5;48.5;9.5;7.0
91.5;7.5;46.5;17.5;40.5;10.5;20.5;338.5;19.5;48.5;9.5;7.0
28.5;62.5;2.5;13.5;49.5;6.5;19.5;301.5;73.5;60.5;19.5;6.0
26.5;66.5;9.5;12.5;40.5;16.5;47.5;228.5;50.5;16.5;13.5;5.0
37.5;51.5;19.5;19.5;37.5;11.5;69.5;187.5;32.5;9.5;11.5;5.0
32.5;42.5;8.5;9.5;39.5;9.5;35.5;178.5;47.5;12.5;18.5;6.0
28.5;62.5;2.5;13.5;49.5;6.5;19.5;301.5;73.5;60.5;19.5;6.0
63.5;18.5;46.5;7.5;28.5;16.5;33.5;308.5;34.5;42.5;21.5;6.0
26.5;51.5;2.5;11.5;39.5;16.5;30.5;251.5;59.5;34.5;19.5;6.0
66.5;21.5;50.5;31.5;55.5;5.5;17.5;311.5;29.5;17.5;26.5;5.0
32.5;85.5;44.5;12.5;57.5;8.5;82.5;162.5;35.5;23.5;13.5;5.0
26.5;51.5;2.5;11.5;39.5;16.5;30.5;251.5;59.5;34.5;19.5;6.0
35.5;47.5;25.5;32.5;38.5;17.5;107.5;221.5;38.5;21.5;11.5;5.0
49.5;20.5;39.5;17.5;40.5;5.5;9.5;292.5;34.5;26.5;9.5;5.0
21.5;69.5;2.5;15.5;40.5;12.5;52.5;224.5;61.5;31.5;9.5;5.0
32.5;29.5;77.5;11.5;125.5;8.5;41.5;224.5;18.5;83.5;12.5;5.0
55.5;17.5;49.5;24.5;50.5;14.5;29.5;332.5;48.5;44.5;26.5;7.0
34.5;19.5;25.5;9.5;42.5;18.5;41.5;184.5;41.5;29.5;11.5;5.0
25.5;115.5;6.5;13.5;52.5;12.5;63.5;145.5;47.5;24.5;12.5;4.0
35.5;41.5;5.5;9.5;35.5;10.5;31.5;151.5;46.5;21.5;21.5;5.0
34.5;24.5;25.5;11.5;42.5;23.5;45.5;187.5;40.5;31.5;11.5;5.0
80.5;46.5;51.5;21.5;29.5;5.5;23.5;337.5;20.5;51.5;32.5;5.0
73.5;12.5;54.5;11.5;36.5;6.5;6.5;224.5;32.5;36.5;23.5;7.0
36.5;102.5;2.5;33.5;61.5;26.5;57.5;344.5;72.5;36.5;18.5;4.0
34.5;21.5;48.5;36.5;43.5;15.5;33.5;258.5;47.5;50.5;51.5;8.0
24.5;43.5;6.5;30.5;42.5;7.5;23.5;314.5;79.5;55.5;12.5;6.0
70.5;4.5;53.5;42.5;68.5;4.5;19.5;331.5;40.5;61.5;22.5;6.0
34.5;44.5;8.5;42.5;52.5;27.5;57.5;203.5;48.5;31.5;29.5;6.0
70.5;4.5;53.5;42.5;68.5;4.5;19.5;331.5;40.5;61.5;22.5;6.0
64.5;24.5;60.5;42.5;36.5;17.5;61.5;327.5;34.5;42.5;22.5;5.0
39.5;73.5;22.5;21.5;41.5;10.5;34.5;262.5;43.5;28.5;12.5;5.0
30.5;61.5;20.5;71.5;53.5;27.5;90.5;323.5;50.5;41.5;12.5;5.0
34.5;44.5;8.5;42.5;52.5;27.5;57.5;203.5;48.5;31.5;29.5;6.0
24.5;43.5;6.5;30.5;42.5;7.5;23.5;314.5;79.5;55.5;12.5;6.0
70.5;4.5;53.5;42.5;68.5;4.5;19.5;331.5;40.5;61.5;22.5;6.0
58.5;18.5;47.5;67.5;38.5;5.5;9.5;276.5;35.5;46.5;49.5;8.0
44.5;28.5;34.5;59.5;52.5;10.5;43.5;321.5;50.5;41.5;26.5;7.0
69.5;12.5;46.5;36.5;36.5;6.5;15.5;311.5;24.5;46.5;11.5;6.0
32.5;13.5;70.5;35.5;119.5;5.5;6.5;251.5;37.5;72.5;19.5;7.0
31.5;41.5;14.5;30.5;32.5;12.5;49.5;244.5;48.5;21.5;8.5;5.0
44.5;28.5;34.5;59.5;52.5;10.5;43.5;321.5;50.5;41.5;26.5;7.0
54.5;50.5;9.5;34.5;66.5;32.5;67.5;341.5;43.5;35.5;18.5;5.0
54.5;50.5;9.5;34.5;66.5;32.5;67.5;341.5;43.5;35.5;18.5;5.0
75.5;34.5;57.5;13.5;38.5;25.5;45.5;333.5;22.5;40.5;24.5;6.0
30.5;28.5;14.5;30.5;57.5;29.5;49.5;218.5;49.5;34.5;24.5;6.0
